pH,TDS,Turbidity,MP_Count,pH_cat,TDS_cat,Turbidity_cat,MP_cat,Risk
6.9,307.4,3.7,0,Moderate,Moderate,Moderate,Good,Medium
9.3,66.0,13.1,12,Poor,Poor,Poor,Poor,High
7.8,187.8,3.4,0,Good,Moderate,Moderate,Good,Medium
7.5,342.8,0.6,0,Good,Moderate,Good,Good,Low
8.4,196.4,3.4,2,Moderate,Moderate,Moderate,Moderate,Medium
8.1,185.8,3.5,1,Moderate,Moderate,Moderate,Moderate,Medium
9.9,537.7,3.0,2,Poor,Poor,Moderate,Moderate,High
4.7,579.2,13.9,22,Poor,Poor,Poor,Poor,High
7.3,235.4,0.6,0,Good,Good,Good,Good,Low
7.5,244.7,2.3,5,Good,Good,Moderate,Moderate,Medium
9.9,615.0,5.6,18,Poor,Poor,Poor,Poor,High
9.3,771.0,7.0,22,Poor,Poor,Poor,Poor,High
4.9,572.2,5.1,22,Poor,Poor,Poor,Poor,High
7.2,349.0,4.7,1,Good,Moderate,Moderate,Moderate,Medium
8.1,187.1,2.7,4,Moderate,Moderate,Moderate,Moderate,Medium
7.3,184.8,4.4,3,Good,Moderate,Moderate,Moderate,Medium
5.7,170.6,9.8,20,Poor,Moderate,Poor,Poor,High
5.0,140.5,6.9,25,Poor,Poor,Poor,Poor,High
6.9,221.2,3.8,4,Moderate,Good,Moderate,Moderate,Medium
7.2,341.5,0.4,0,Good,Moderate,Good,Good,Low
6.7,327.6,3.0,2,Moderate,Moderate,Moderate,Moderate,Medium
7.9,454.8,6.6,0,Moderate,Poor,Poor,Good,High
7.3,228.9,1.2,0,Good,Good,Moderate,Good,Low
7.7,108.3,14.6,26,Good,Poor,Poor,Poor,High
8.4,222.8,0.5,0,Moderate,Good,Good,Good,Low
7.6,194.6,2.5,2,Good,Moderate,Moderate,Moderate,Medium
8.2,271.1,3.7,5,Moderate,Moderate,Moderate,Moderate,Medium
7.7,231.0,0.5,2,Good,Good,Good,Moderate,Low
7.4,230.0,2.0,5,Good,Good,Moderate,Moderate,Medium
10.0,93.3,10.4,8,Poor,Poor,Poor,Poor,High
7.9,325.5,3.9,2,Moderate,Moderate,Moderate,Moderate,Medium
9.9,291.8,12.1,0,Poor,Moderate,Poor,Good,High
7.2,203.5,0.9,2,Good,Good,Good,Moderate,Low
7.2,216.2,2.2,2,Good,Good,Moderate,Moderate,Medium
7.5,326.3,0.0,0,Good,Moderate,Good,Good,Low
7.7,199.0,0.0,0,Good,Moderate,Good,Good,Low
7.4,236.0,0.1,1,Good,Good,Good,Moderate,Low
6.2,123.3,10.3,14,Poor,Poor,Poor,Poor,High
6.6,777.4,12.6,12,Moderate,Poor,Poor,Poor,High
7.2,336.4,0.3,0,Good,Moderate,Good,Good,Low
7.0,188.8,8.1,23,Moderate,Moderate,Poor,Poor,High
6.4,625.4,6.0,20,Poor,Poor,Poor,Poor,High
7.5,337.8,2.7,0,Good,Moderate,Moderate,Good,Medium
8.1,323.5,8.4,12,Moderate,Moderate,Poor,Poor,High
8.4,171.9,3.4,3,Moderate,Moderate,Moderate,Moderate,Medium
6.7,315.8,0.0,5,Moderate,Moderate,Good,Moderate,Medium
7.6,286.0,0.6,0,Good,Moderate,Good,Good,Low
7.4,160.0,0.4,0,Good,Moderate,Good,Good,Low
7.5,209.7,4.8,0,Good,Good,Moderate,Good,Low
7.1,92.2,1.8,28,Good,Poor,Moderate,Poor,High
7.4,202.2,1.4,0,Good,Good,Moderate,Good,Low
9.9,523.9,3.9,27,Poor,Poor,Moderate,Poor,High
7.5,698.4,11.0,23,Good,Poor,Poor,Poor,High
6.7,162.0,3.4,2,Moderate,Moderate,Moderate,Moderate,Medium
8.7,181.1,7.5,8,Poor,Moderate,Poor,Poor,High
8.5,153.6,2.7,0,Moderate,Moderate,Moderate,Good,Medium
9.8,442.3,9.4,13,Poor,Poor,Poor,Poor,High
7.7,293.9,0.6,2,Good,Moderate,Good,Moderate,Medium
7.5,292.9,2.0,3,Good,Moderate,Moderate,Moderate,Medium
7.5,332.7,0.3,0,Good,Moderate,Good,Good,Low
5.5,443.9,10.6,23,Poor,Poor,Poor,Poor,High
7.9,173.2,4.2,1,Moderate,Moderate,Moderate,Moderate,Medium
7.1,204.9,0.6,0,Good,Good,Good,Good,Low
7.0,289.0,2.4,0,Moderate,Moderate,Moderate,Good,Medium
7.5,340.2,3.2,5,Good,Moderate,Moderate,Moderate,Medium
5.7,152.3,0.2,5,Poor,Moderate,Good,Moderate,High
7.2,221.5,0.6,4,Good,Good,Good,Moderate,Low
7.5,236.6,2.0,0,Good,Good,Moderate,Good,Low
8.4,241.2,4.9,1,Moderate,Good,Moderate,Moderate,Medium
5.2,74.4,13.8,2,Poor,Poor,Poor,Moderate,High
8.5,345.6,0.9,3,Moderate,Moderate,Good,Moderate,Medium
7.2,204.5,0.4,4,Good,Good,Good,Moderate,Low
7.2,230.4,0.5,2,Good,Good,Good,Moderate,Low
7.5,334.1,0.8,0,Good,Moderate,Good,Good,Low
6.8,231.8,2.8,1,Moderate,Good,Moderate,Moderate,Medium
6.9,276.5,4.0,3,Moderate,Moderate,Moderate,Moderate,Medium
6.8,430.7,3.6,14,Moderate,Poor,Moderate,Poor,High
7.7,202.6,4.2,0,Good,Good,Moderate,Good,Low
7.3,205.1,1.7,0,Good,Good,Moderate,Good,Low
7.4,134.2,0.0,21,Good,Poor,Good,Poor,High
7.1,222.4,1.9,0,Good,Good,Moderate,Good,Low
6.5,307.1,1.5,4,Moderate,Moderate,Moderate,Moderate,Medium
7.1,179.9,6.5,22,Good,Moderate,Poor,Poor,High
7.1,160.1,4.6,1,Good,Moderate,Moderate,Moderate,Medium
7.2,265.9,0.4,5,Good,Good,Good,Moderate,Low
5.0,643.9,8.8,14,Poor,Poor,Poor,Poor,High
7.5,54.3,4.9,11,Good,Poor,Moderate,Poor,High
7.2,513.4,13.0,7,Good,Poor,Poor,Poor,High
7.1,224.6,0.8,0,Good,Good,Good,Good,Low
6.2,504.8,2.1,15,Poor,Poor,Moderate,Poor,High
6.7,220.6,2.6,5,Moderate,Good,Moderate,Moderate,Medium
7.6,254.5,0.4,5,Good,Good,Good,Moderate,Low
7.8,245.4,0.3,1,Good,Good,Good,Moderate,Low
7.3,262.7,4.8,0,Good,Good,Moderate,Good,Low
5.8,343.2,8.9,29,Poor,Moderate,Poor,Poor,High
9.4,433.8,8.0,12,Poor,Poor,Poor,Poor,High
5.4,343.3,14.5,1,Poor,Moderate,Poor,Moderate,High
7.5,232.3,0.1,5,Good,Good,Good,Moderate,Low
7.8,202.7,2.2,0,Good,Good,Moderate,Good,Low
7.5,309.1,0.4,0,Good,Moderate,Good,Good,Low
7.1,225.9,2.5,0,Good,Good,Moderate,Good,Low
8.5,235.4,0.9,0,Moderate,Good,Good,Good,Low
7.3,183.1,2.2,0,Good,Moderate,Moderate,Good,Medium
7.8,153.3,1.7,4,Good,Moderate,Moderate,Moderate,Medium
8.2,157.2,0.1,3,Moderate,Moderate,Good,Moderate,Medium
6.7,162.2,4.1,1,Moderate,Moderate,Moderate,Moderate,Medium
6.6,209.3,0.9,3,Moderate,Good,Good,Moderate,Medium
8.8,289.1,9.4,15,Poor,Moderate,Poor,Poor,High
7.3,214.3,4.2,4,Good,Good,Moderate,Moderate,Medium
7.4,256.5,3.4,0,Good,Good,Moderate,Good,Low
5.5,110.7,6.4,11,Poor,Poor,Poor,Poor,High
6.6,285.1,4.7,2,Moderate,Moderate,Moderate,Moderate,Medium
7.7,173.7,0.0,0,Good,Moderate,Good,Good,Low
6.8,259.3,1.9,2,Moderate,Good,Moderate,Moderate,Medium
7.6,341.4,2.4,3,Good,Moderate,Moderate,Moderate,Medium
8.0,212.7,0.0,0,Moderate,Good,Good,Good,Low
7.5,201.7,0.9,2,Good,Good,Good,Moderate,Low
7.9,320.7,3.0,0,Moderate,Moderate,Moderate,Good,Medium
9.1,289.3,12.4,16,Poor,Moderate,Poor,Poor,High
7.7,217.3,0.3,3,Good,Good,Good,Moderate,Low
7.8,349.9,3.1,1,Good,Moderate,Moderate,Moderate,Medium
5.7,73.4,9.8,11,Poor,Poor,Poor,Poor,High
6.8,320.2,0.2,5,Moderate,Moderate,Good,Moderate,Medium
7.5,289.0,0.5,0,Good,Moderate,Good,Good,Low
7.9,253.4,0.7,0,Moderate,Good,Good,Good,Low
8.3,258.1,3.4,1,Moderate,Good,Moderate,Moderate,Medium
10.0,384.8,5.0,21,Poor,Poor,Poor,Poor,High
8.8,544.0,7.5,17,Poor,Poor,Poor,Poor,High
8.7,455.9,14.4,27,Poor,Poor,Poor,Poor,High
8.4,188.3,2.2,3,Moderate,Moderate,Moderate,Moderate,Medium
7.6,236.8,3.8,0,Good,Good,Moderate,Good,Low
7.1,218.6,1.1,0,Good,Good,Moderate,Good,Low
7.8,224.2,0.7,4,Good,Good,Good,Moderate,Low
6.7,171.1,1.0,3,Moderate,Moderate,Moderate,Moderate,Medium
4.5,665.0,3.4,6,Poor,Poor,Moderate,Poor,High
7.5,115.2,6.1,14,Good,Poor,Poor,Poor,High
7.4,264.1,0.5,0,Good,Good,Good,Good,Low
7.8,227.3,3.4,3,Good,Good,Moderate,Moderate,Medium
9.5,244.1,9.9,1,Poor,Good,Poor,Moderate,High
9.4,146.6,5.0,26,Poor,Poor,Poor,Poor,High
9.4,649.9,6.4,18,Poor,Poor,Poor,Poor,High
7.5,164.9,1.6,4,Good,Moderate,Moderate,Moderate,Medium
7.4,230.0,4.9,2,Good,Good,Moderate,Moderate,Medium
6.5,333.1,0.7,5,Moderate,Moderate,Good,Moderate,Medium
9.4,391.7,9.3,7,Poor,Poor,Poor,Poor,High
7.9,171.3,1.1,0,Moderate,Moderate,Moderate,Good,Medium
6.5,335.4,1.3,2,Moderate,Moderate,Moderate,Moderate,Medium
8.2,271.8,2.8,4,Moderate,Moderate,Moderate,Moderate,Medium
8.5,216.7,4.3,3,Moderate,Good,Moderate,Moderate,Medium
8.4,300.4,1.8,5,Moderate,Moderate,Moderate,Moderate,Medium
5.4,535.1,5.8,27,Poor,Poor,Poor,Poor,High
7.4,174.4,0.3,0,Good,Moderate,Good,Good,Low
7.3,222.1,1.3,2,Good,Good,Moderate,Moderate,Medium
4.6,704.1,14.0,3,Poor,Poor,Poor,Moderate,High
6.7,295.2,3.7,2,Moderate,Moderate,Moderate,Moderate,Medium
8.1,784.0,5.6,29,Moderate,Poor,Poor,Poor,High
5.4,300.5,3.6,20,Poor,Moderate,Moderate,Poor,High
7.1,485.6,4.1,24,Good,Poor,Moderate,Poor,High
8.1,257.2,3.2,2,Moderate,Good,Moderate,Moderate,Medium
6.9,229.7,0.9,0,Moderate,Good,Good,Good,Low
8.1,296.5,4.3,2,Moderate,Moderate,Moderate,Moderate,Medium
7.1,230.0,2.0,2,Good,Good,Moderate,Moderate,Medium
6.9,230.3,0.5,2,Moderate,Good,Good,Moderate,Medium
7.5,332.0,0.6,0,Good,Moderate,Good,Good,Low
6.7,323.3,2.4,0,Moderate,Moderate,Moderate,Good,Medium
7.4,237.1,0.0,3,Good,Good,Good,Moderate,Low
7.1,336.2,0.4,0,Good,Moderate,Good,Good,Low
4.8,591.5,14.1,1,Poor,Poor,Poor,Moderate,High
7.4,207.9,0.7,5,Good,Good,Good,Moderate,Low
5.1,220.5,5.1,8,Poor,Good,Poor,Poor,High
10.0,96.1,13.2,29,Poor,Poor,Poor,Poor,High
4.5,67.3,7.9,9,Poor,Poor,Poor,Poor,High
7.1,189.2,3.1,0,Good,Moderate,Moderate,Good,Medium
7.0,281.6,2.5,0,Moderate,Moderate,Moderate,Good,Medium
6.4,230.0,2.0,2,Poor,Good,Moderate,Moderate,High
6.5,778.8,14.4,29,Moderate,Poor,Poor,Poor,High
8.2,338.7,1.6,5,Moderate,Moderate,Moderate,Moderate,Medium
7.7,270.5,10.7,17,Good,Poor,Poor,Poor,High
6.1,796.9,10.5,2,Poor,Poor,Poor,Moderate,High
7.1,307.3,4.6,0,Good,Moderate,Moderate,Good,Medium
6.9,277.9,1.2,4,Moderate,Moderate,Moderate,Moderate,Medium
6.7,271.8,0.9,0,Moderate,Moderate,Good,Good,Medium
7.5,200.6,0.7,3,Good,Good,Good,Moderate,Low
7.0,251.6,0.8,0,Moderate,Good,Good,Good,Low
6.5,194.1,1.0,4,Moderate,Moderate,Moderate,Moderate,Medium
7.1,252.7,0.0,0,Good,Good,Good,Good,Low
7.2,180.5,4.0,5,Good,Moderate,Moderate,Moderate,Medium
7.5,235.6,3.8,0,Good,Good,Moderate,Good,Low
4.6,539.9,5.0,23,Poor,Poor,Poor,Poor,High
5.7,217.9,8.1,8,Poor,Good,Poor,Poor,High
6.2,599.0,12.8,6,Poor,Poor,Poor,Poor,High
4.5,571.8,0.7,17,Poor,Poor,Good,Poor,High
7.0,230.0,2.0,2,Moderate,Good,Moderate,Moderate,Medium
6.5,191.3,3.0,3,Moderate,Moderate,Moderate,Moderate,Medium
7.7,238.8,0.6,3,Good,Good,Good,Moderate,Low
9.7,685.4,13.7,28,Poor,Poor,Poor,Poor,High
7.4,180.1,4.1,2,Good,Moderate,Moderate,Moderate,Medium
8.2,216.3,4.1,5,Moderate,Good,Moderate,Moderate,Medium
7.9,178.1,0.0,3,Moderate,Moderate,Good,Moderate,Medium
7.9,230.0,2.0,2,Moderate,Good,Moderate,Moderate,Medium
7.8,214.8,0.4,0,Good,Good,Good,Good,Low
7.2,203.0,4.1,0,Good,Good,Moderate,Good,Low
8.6,750.8,13.9,22,Poor,Poor,Poor,Poor,High
7.2,284.8,2.3,5,Good,Moderate,Moderate,Moderate,Medium
6.5,242.7,4.8,1,Moderate,Good,Moderate,Moderate,Medium
8.1,331.4,3.7,0,Moderate,Moderate,Moderate,Good,Medium
7.4,152.4,0.2,0,Good,Moderate,Good,Good,Low
5.8,424.4,8.6,16,Poor,Poor,Poor,Poor,High
9.4,381.5,5.0,28,Poor,Poor,Poor,Poor,High
8.1,196.4,3.8,1,Moderate,Moderate,Moderate,Moderate,Medium
7.1,207.2,4.6,1,Good,Good,Moderate,Moderate,Medium
4.9,221.8,8.1,5,Poor,Good,Poor,Moderate,High
7.0,260.7,0.1,0,Moderate,Good,Good,Good,Low
6.8,268.0,0.7,0,Moderate,Good,Good,Good,Low
6.6,327.5,0.1,1,Moderate,Moderate,Good,Moderate,Medium
6.9,157.5,2.2,4,Moderate,Moderate,Moderate,Moderate,Medium
7.3,251.8,2.7,1,Good,Good,Moderate,Moderate,Medium
7.5,528.1,10.9,12,Good,Poor,Poor,Poor,High
7.8,249.0,3.3,0,Good,Good,Moderate,Good,Low
7.1,261.4,2.4,0,Good,Good,Moderate,Good,Low
8.4,217.1,1.6,1,Moderate,Good,Moderate,Moderate,Medium
8.1,348.4,1.2,3,Moderate,Moderate,Moderate,Moderate,Medium
7.4,231.9,2.2,0,Good,Good,Moderate,Good,Low
7.5,181.0,2.1,5,Good,Moderate,Moderate,Moderate,Medium
7.7,324.7,0.5,0,Good,Moderate,Good,Good,Low
7.6,216.2,1.2,0,Good,Good,Moderate,Good,Low
7.2,223.2,0.6,5,Good,Good,Good,Moderate,Low
7.9,762.0,5.9,23,Moderate,Poor,Poor,Poor,High
7.7,320.9,4.2,4,Good,Moderate,Moderate,Moderate,Medium
8.4,469.7,0.1,27,Moderate,Poor,Good,Poor,High
7.6,289.1,0.9,1,Good,Moderate,Good,Moderate,Medium
9.3,500.8,10.6,21,Poor,Poor,Poor,Poor,High
4.8,780.3,3.5,29,Poor,Poor,Moderate,Poor,High
8.0,212.2,7.8,19,Moderate,Good,Poor,Poor,High
7.4,186.0,0.6,0,Good,Moderate,Good,Good,Low
8.3,196.6,1.7,1,Moderate,Moderate,Moderate,Moderate,Medium
6.5,230.0,2.0,2,Moderate,Good,Moderate,Moderate,Medium
5.9,608.0,0.5,21,Poor,Poor,Good,Poor,High
7.1,255.5,2.6,0,Good,Good,Moderate,Good,Low
4.7,583.0,1.7,27,Poor,Poor,Moderate,Poor,High
7.5,205.6,0.6,4,Good,Good,Good,Moderate,Low
8.5,212.1,3.4,4,Moderate,Good,Moderate,Moderate,Medium
7.2,160.8,3.5,2,Good,Moderate,Moderate,Moderate,Medium
7.2,287.2,1.4,5,Good,Moderate,Moderate,Moderate,Medium
8.5,165.6,3.3,5,Moderate,Moderate,Moderate,Moderate,Medium
6.8,341.3,2.7,1,Moderate,Moderate,Moderate,Moderate,Medium
8.5,185.5,1.2,5,Moderate,Moderate,Moderate,Moderate,Medium
6.5,163.7,0.6,2,Moderate,Moderate,Good,Moderate,Medium
5.9,334.8,8.9,11,Poor,Moderate,Poor,Poor,High
7.6,337.2,14.6,2,Good,Moderate,Poor,Moderate,High
8.7,581.4,7.1,21,Poor,Poor,Poor,Poor,High
7.6,347.5,3.6,1,Good,Moderate,Moderate,Moderate,Medium
5.5,80.6,8.9,26,Poor,Poor,Poor,Poor,High
9.1,67.5,12.2,8,Poor,Poor,Poor,Poor,High
7.6,403.6,8.1,27,Good,Poor,Poor,Poor,High
8.4,685.0,12.8,21,Moderate,Poor,Poor,Poor,High
7.5,295.1,4.0,3,Good,Moderate,Moderate,Moderate,Medium
8.9,515.1,8.0,6,Poor,Poor,Poor,Poor,High
7.5,381.1,13.3,10,Good,Poor,Poor,Poor,High
7.4,285.9,1.5,5,Good,Moderate,Moderate,Moderate,Medium
7.0,205.6,3.1,5,Moderate,Good,Moderate,Moderate,Medium
9.6,572.0,8.6,23,Poor,Poor,Poor,Poor,High
7.8,232.5,1.3,0,Good,Good,Moderate,Good,Low
7.5,308.9,3.5,4,Good,Moderate,Moderate,Moderate,Medium
6.5,524.2,9.5,10,Moderate,Poor,Poor,Poor,High
7.4,242.8,0.1,3,Good,Good,Good,Moderate,Low
6.9,228.8,0.1,5,Moderate,Good,Good,Moderate,Medium
8.4,257.2,1.1,5,Moderate,Good,Moderate,Moderate,Medium
7.1,200.0,3.9,0,Good,Good,Moderate,Good,Low
7.6,234.5,0.6,4,Good,Good,Good,Moderate,Low
7.7,157.3,0.6,1,Good,Moderate,Good,Moderate,Medium
7.0,190.3,2.7,1,Moderate,Moderate,Moderate,Moderate,Medium
7.4,152.0,0.8,0,Good,Moderate,Good,Good,Low
8.4,275.6,3.9,5,Moderate,Moderate,Moderate,Moderate,Medium
5.9,640.9,13.0,20,Poor,Poor,Poor,Poor,High
7.6,223.5,4.1,0,Good,Good,Moderate,Good,Low
7.6,257.5,4.8,0,Good,Good,Moderate,Good,Low
7.7,232.5,0.3,0,Good,Good,Good,Good,Low
8.0,328.3,4.6,5,Moderate,Moderate,Moderate,Moderate,Medium
5.5,63.6,7.4,15,Poor,Poor,Poor,Poor,High
7.5,316.5,1.7,4,Good,Moderate,Moderate,Moderate,Medium
7.9,364.7,3.7,15,Moderate,Poor,Moderate,Poor,High
6.7,311.0,3.1,5,Moderate,Moderate,Moderate,Moderate,Medium
7.4,156.4,0.8,1,Good,Moderate,Good,Moderate,Medium
9.1,203.8,14.5,3,Poor,Good,Poor,Moderate,High
6.0,492.7,5.4,11,Poor,Poor,Poor,Poor,High
7.4,212.9,4.9,5,Good,Good,Moderate,Moderate,Medium
8.7,764.5,13.6,10,Poor,Poor,Poor,Poor,High
6.6,247.0,0.7,5,Moderate,Good,Good,Moderate,Medium
7.8,272.8,1.7,1,Good,Moderate,Moderate,Moderate,Medium
6.7,238.3,1.4,1,Moderate,Good,Moderate,Moderate,Medium
6.4,405.5,5.3,8,Poor,Poor,Poor,Poor,High
7.4,199.0,2.0,2,Good,Moderate,Moderate,Moderate,Medium
9.9,359.5,5.6,6,Poor,Poor,Poor,Poor,High
4.7,308.8,9.5,29,Poor,Moderate,Poor,Poor,High
8.2,166.7,3.4,3,Moderate,Moderate,Moderate,Moderate,Medium
9.6,591.2,0.7,28,Poor,Poor,Good,Poor,High
8.0,171.4,3.1,3,Moderate,Moderate,Moderate,Moderate,Medium
8.1,662.9,8.3,27,Moderate,Poor,Poor,Poor,High
8.4,271.1,1.7,0,Moderate,Moderate,Moderate,Good,Medium
7.2,253.1,1.2,0,Good,Good,Moderate,Good,Low
7.7,222.7,4.0,0,Good,Good,Moderate,Good,Low
7.3,263.8,3.2,0,Good,Good,Moderate,Good,Low
7.3,222.4,4.1,0,Good,Good,Moderate,Good,Low
7.2,115.2,8.1,1,Good,Poor,Poor,Moderate,High
9.5,84.1,4.2,15,Poor,Poor,Moderate,Poor,High
7.1,232.0,2.0,0,Good,Good,Moderate,Good,Low
8.2,296.1,2.3,29,Moderate,Moderate,Moderate,Poor,High
7.4,264.0,2.4,0,Good,Good,Moderate,Good,Low
7.9,302.4,9.8,28,Moderate,Moderate,Poor,Poor,High
7.6,176.7,2.3,3,Good,Moderate,Moderate,Moderate,Medium
6.7,227.2,0.7,0,Moderate,Good,Good,Good,Low
4.6,151.4,14.4,27,Poor,Moderate,Poor,Poor,High
6.4,452.9,6.9,15,Poor,Poor,Poor,Poor,High
5.8,553.9,0.3,21,Poor,Poor,Good,Poor,High
9.9,607.5,1.0,7,Poor,Poor,Moderate,Poor,High
6.2,222.7,3.1,10,Poor,Good,Moderate,Poor,High
7.8,315.6,3.1,2,Good,Moderate,Moderate,Moderate,Medium
8.0,749.0,1.5,3,Moderate,Poor,Moderate,Moderate,High
4.8,761.9,13.3,19,Poor,Poor,Poor,Poor,High
7.0,232.6,1.3,0,Moderate,Good,Moderate,Good,Medium
8.1,240.9,3.2,5,Moderate,Good,Moderate,Moderate,Medium
7.9,206.0,2.5,2,Moderate,Good,Moderate,Moderate,Medium
7.1,310.2,4.7,4,Good,Moderate,Moderate,Moderate,Medium
7.0,459.2,14.1,2,Moderate,Poor,Poor,Moderate,High
9.0,441.9,1.8,11,Poor,Poor,Moderate,Poor,High
6.1,291.9,12.7,8,Poor,Moderate,Poor,Poor,High
7.6,209.7,3.3,0,Good,Good,Moderate,Good,Low
7.8,239.1,3.5,0,Good,Good,Moderate,Good,Low
7.7,210.0,4.9,0,Good,Good,Moderate,Good,Low
6.1,272.2,3.5,24,Poor,Moderate,Moderate,Poor,High
7.1,209.3,0.2,2,Good,Good,Good,Moderate,Low
6.9,228.0,0.1,0,Moderate,Good,Good,Good,Low
7.3,219.0,1.3,0,Good,Good,Moderate,Good,Low
7.2,235.4,13.1,14,Good,Good,Poor,Poor,High
5.5,423.8,6.3,23,Poor,Poor,Poor,Poor,High
8.3,228.3,0.1,0,Moderate,Good,Good,Good,Low
6.0,249.9,11.0,1,Poor,Good,Poor,Moderate,High
8.9,244.2,8.8,6,Poor,Good,Poor,Poor,High
5.0,118.8,9.0,19,Poor,Poor,Poor,Poor,High
7.1,223.5,0.1,4,Good,Good,Good,Moderate,Low
7.9,264.2,2.1,5,Moderate,Good,Moderate,Moderate,Medium
6.4,477.1,13.3,27,Poor,Poor,Poor,Poor,High
7.3,266.0,4.7,0,Good,Good,Moderate,Good,Low
7.2,211.4,2.2,0,Good,Good,Moderate,Good,Low
6.0,414.0,5.6,9,Poor,Poor,Poor,Poor,High
4.8,80.5,12.8,19,Poor,Poor,Poor,Poor,High
6.7,302.6,3.0,2,Moderate,Moderate,Moderate,Moderate,Medium
5.5,719.4,8.1,25,Poor,Poor,Poor,Poor,High
7.2,230.4,0.0,3,Good,Good,Good,Moderate,Low
5.3,255.9,9.0,17,Poor,Good,Poor,Poor,High
9.2,212.6,1.4,15,Poor,Good,Moderate,Poor,High
7.8,296.6,2.6,1,Good,Moderate,Moderate,Moderate,Medium
8.4,195.7,4.0,5,Moderate,Moderate,Moderate,Moderate,Medium
7.8,176.0,1.0,5,Good,Moderate,Moderate,Moderate,Medium
7.2,210.2,0.2,0,Good,Good,Good,Good,Low
7.8,194.8,4.7,3,Good,Moderate,Moderate,Moderate,Medium
7.1,216.3,0.4,5,Good,Good,Good,Moderate,Low
7.3,426.1,12.0,0,Good,Poor,Poor,Good,High
7.0,681.5,2.9,29,Moderate,Poor,Moderate,Poor,High
7.1,272.1,4.3,3,Good,Moderate,Moderate,Moderate,Medium
4.7,277.4,8.1,4,Poor,Moderate,Poor,Moderate,High
8.2,795.6,9.9,16,Moderate,Poor,Poor,Poor,High
7.0,272.6,1.3,4,Moderate,Moderate,Moderate,Moderate,Medium
7.2,327.0,2.8,1,Good,Moderate,Moderate,Moderate,Medium
7.5,256.4,4.8,4,Good,Good,Moderate,Moderate,Medium
7.1,238.6,3.6,0,Good,Good,Moderate,Good,Low
8.9,188.9,13.8,19,Poor,Moderate,Poor,Poor,High
7.9,268.4,2.6,5,Moderate,Good,Moderate,Moderate,Medium
6.9,272.3,2.1,1,Moderate,Moderate,Moderate,Moderate,Medium
7.7,219.4,0.9,1,Good,Good,Good,Moderate,Low
6.8,344.5,3.3,5,Moderate,Moderate,Moderate,Moderate,Medium
7.6,262.5,0.4,1,Good,Good,Good,Moderate,Low
9.3,391.1,7.7,17,Poor,Poor,Poor,Poor,High
7.8,233.7,4.3,0,Good,Good,Moderate,Good,Low
7.3,276.6,2.0,1,Good,Moderate,Moderate,Moderate,Medium
7.4,150.0,2.0,2,Good,Moderate,Moderate,Moderate,Medium
4.9,125.6,0.3,18,Poor,Poor,Good,Poor,High
7.5,168.5,0.2,0,Good,Moderate,Good,Good,Low
7.1,216.4,0.2,2,Good,Good,Good,Moderate,Low
8.5,268.8,2.1,2,Moderate,Good,Moderate,Moderate,Medium
8.4,240.5,0.9,4,Moderate,Good,Good,Moderate,Medium
8.2,328.8,4.8,3,Moderate,Moderate,Moderate,Moderate,Medium
6.2,456.9,7.6,21,Poor,Poor,Poor,Poor,High
8.9,771.6,11.9,24,Poor,Poor,Poor,Poor,High
8.4,155.3,2.7,2,Moderate,Moderate,Moderate,Moderate,Medium
7.6,301.0,0.8,0,Good,Moderate,Good,Good,Low
7.0,468.0,12.9,28,Moderate,Poor,Poor,Poor,High
9.5,154.3,1.5,0,Poor,Moderate,Moderate,Good,High
4.7,69.8,5.6,0,Poor,Poor,Poor,Good,High
7.5,243.8,0.6,0,Good,Good,Good,Good,Low
5.9,169.7,13.1,25,Poor,Moderate,Poor,Poor,High
8.0,208.3,0.4,0,Moderate,Good,Good,Good,Low
8.2,614.3,11.9,24,Moderate,Poor,Poor,Poor,High
7.3,251.8,0.3,4,Good,Good,Good,Moderate,Low
5.8,124.6,3.6,13,Poor,Poor,Moderate,Poor,High
8.1,242.8,0.2,0,Moderate,Good,Good,Good,Low
7.4,255.7,1.0,1,Good,Good,Moderate,Moderate,Medium
4.6,756.7,8.4,25,Poor,Poor,Poor,Poor,High
6.7,371.1,10.8,16,Moderate,Poor,Poor,Poor,High
7.6,176.6,2.1,0,Good,Moderate,Moderate,Good,Medium
7.2,264.0,2.1,0,Good,Good,Moderate,Good,Low
8.4,733.0,9.4,10,Moderate,Poor,Poor,Poor,High
7.2,204.8,0.5,4,Good,Good,Good,Moderate,Low
7.8,484.6,9.9,6,Good,Poor,Poor,Poor,High
7.5,239.8,3.1,0,Good,Good,Moderate,Good,Low
7.1,315.5,0.3,0,Good,Moderate,Good,Good,Low
7.3,224.5,3.0,0,Good,Good,Moderate,Good,Low
7.1,345.3,0.9,0,Good,Moderate,Good,Good,Low
7.7,289.3,0.7,1,Good,Moderate,Good,Moderate,Medium
5.6,451.9,1.5,24,Poor,Poor,Moderate,Poor,High
7.3,251.6,3.7,5,Good,Good,Moderate,Moderate,Medium
7.2,249.2,4.6,0,Good,Good,Moderate,Good,Low
9.6,112.1,13.1,26,Poor,Poor,Poor,Poor,High
9.8,149.9,1.5,23,Poor,Poor,Moderate,Poor,High
7.8,263.6,0.9,5,Good,Good,Good,Moderate,Low
7.3,254.3,0.0,3,Good,Good,Good,Moderate,Low
7.8,260.1,4.2,0,Good,Good,Moderate,Good,Low
8.1,336.3,0.3,3,Moderate,Moderate,Good,Moderate,Medium
