pH,TDS,Turbidity,MP_Count,Risk
7.25,133,0.73,1,High
8.44,200,1.23,5,Medium
7.72,201,6.72,45,High
7.66,200,18.9,39,High
7.78,217,0.33,3,Low
8.86,959,15.56,20,High
6.75,168,0.43,1,Medium
7.77,219,0.47,0,Low
8.01,262,0.2,7,Medium
7.54,269,0.77,0,Low
8.29,276,1.9,2,Medium
7.18,252,0.48,0,Low
7.0,217,8.41,4,High
8.05,192,0.34,6,Medium
7.31,266,0.04,1,Low
7.43,241,0.36,1,Low
8.32,162,1.67,0,Medium
7.14,157,2.61,3,Medium
7.3,200,0.87,2,Low
7.53,266,0.51,2,Low
7.31,229,0.21,3,Low
7.65,186,2.96,4,Medium
9.12,208,7.33,2,High
7.54,268,0.64,1,Low
7.41,205,0.74,3,Low
7.72,203,0.64,4,Low
7.19,60,11.85,15,High
7.0,269,0.51,4,High
7.16,221,0.74,2,Low
7.0,226,0.57,1,High
7.2,288,0.09,6,Medium
11.66,377,0.85,4,High
7.49,249,0.51,3,Low
7.78,735,0.09,33,High
8.24,225,3.75,1,Medium
7.46,239,0.4,1,Low
7.39,158,4.11,5,Medium
7.0,200,0.06,1,High
11.0,508,7.64,24,High
7.18,215,0.64,2,Low
6.71,155,0.78,6,Medium
7.0,70,19.58,40,High
7.0,136,15.81,11,High
10.5,252,0.4,3,High
7.12,269,0.56,1,Low
7.21,835,0.71,1,High
7.79,251,2.11,6,Medium
7.19,151,3.81,2,Medium
8.32,251,4.15,4,Medium
7.26,232,0.76,2,Low
7.5,519,0.22,50,High
7.62,263,0.06,3,Low
7.12,180,2.0,5,Medium
7.2,238,4.83,6,Medium
7.45,153,4.88,7,Medium
6.53,207,4.18,7,Medium
8.19,209,4.11,7,Medium
7.32,83,6.03,18,High
7.68,343,2.82,4,Medium
1.32,269,0.72,2,High
7.47,267,0.01,0,Low
7.35,223,0.43,2,Low
7.67,89,0.22,2,High
7.57,237,0.87,2,Low
7.71,154,4.11,6,Medium
7.56,223,0.1,4,Low
1.6,882,15.12,9,High
7.0,70,19.63,20,High
5.85,100,14.67,3,High
7.7,78,19.11,4,High
8.46,201,1.86,6,Medium
8.09,264,0.65,7,Medium
7.4,966,5.71,33,High
10.7,263,17.97,41,High
7.49,202,0.36,1,Low
8.23,267,0.31,7,Medium
7.5,250,1.98,6,Medium
10.09,79,17.71,50,High
7.53,219,0.2,0,Low
7.17,117,0.89,2,High
7.15,243,2.14,7,Medium
7.15,251,0.86,3,Low
6.57,155,1.16,0,Medium
7.4,247,15.25,8,High
6.52,328,0.82,4,Medium
7.0,474,0.54,21,High
7.5,202,0.78,21,High
2.87,237,16.59,31,High
8.2,295,0.84,7,Medium
7.77,233,0.72,1,Low
7.64,235,0.46,1,Low
7.26,964,6.23,33,High
7.41,877,0.06,16,High
7.42,210,0.75,3,Low
7.45,236,0.08,3,Low
6.66,237,2.38,3,Medium
7.64,247,16.27,3,High
6.57,338,0.24,2,Medium
7.38,268,0.46,3,Low
7.22,692,19.87,3,High
7.0,970,11.02,35,High
7.5,265,0.86,2,Low
7.59,215,0.43,4,Low
2.24,621,14.71,12,High
7.62,253,0.07,1,Low
7.22,342,0.74,5,Medium
6.69,176,0.05,6,Medium
7.31,267,0.6,2,Low
7.1,220,0.2,1,Low
7.9,164,0.37,6,Medium
7.34,213,0.56,2,Low
4.08,62,19.95,4,High
7.0,773,0.13,0,High
7.93,237,2.09,5,Medium
7.55,220,0.35,3,Low
7.0,214,10.1,37,High
7.14,311,3.67,2,Medium
7.14,227,0.31,4,Low
7.45,204,0.38,3,Low
7.57,212,0.9,44,High
7.35,317,1.6,7,Medium
7.36,211,5.32,11,High
7.21,232,0.81,4,Low
7.64,211,0.2,4,Low
7.59,137,14.78,24,High
7.1,243,0.87,0,Low
7.28,258,0.19,0,Low
7.12,229,0.04,0,Low
10.98,214,0.02,20,High
6.76,260,1.89,7,Medium
7.25,216,10.53,0,High
7.61,225,0.4,0,Low
8.24,230,0.74,5,Medium
7.75,321,3.88,0,Medium
6.82,267,3.68,7,Medium
7.47,205,0.29,2,Low
6.77,292,0.39,7,Medium
7.56,269,0.78,4,Low
4.04,245,0.43,46,High
7.17,238,0.57,4,Low
8.11,246,0.27,7,Medium
7.69,159,1.98,5,Medium
7.54,215,0.02,3,Low
7.72,226,0.43,2,Low
7.14,235,0.18,0,Low
8.01,178,1.99,1,Medium
7.63,205,0.64,1,Low
8.08,210,0.11,6,Medium
6.86,321,0.09,0,Medium
7.0,136,0.52,18,High
8.46,227,3.01,5,Medium
8.06,336,2.7,3,Medium
8.19,224,4.17,1,Medium
7.74,202,0.3,1,Low
7.56,264,16.51,49,High
12.55,494,9.87,33,High
7.94,215,0.45,6,Medium
7.69,260,2.74,6,Medium
7.32,220,3.33,6,Medium
7.6,207,0.59,4,Low
7.0,382,0.86,40,High
8.46,167,0.05,2,Medium
7.76,158,4.36,5,Medium
7.63,223,0.69,0,Low
7.92,202,4.2,5,Medium
12.57,811,7.29,40,High
7.73,190,3.48,7,Medium
7.22,347,1.13,6,Medium
7.43,262,0.88,0,Low
8.49,150,0.32,1,Medium
7.0,210,0.66,3,High
7.19,200,0.04,0,Low
7.6,172,2.46,2,Medium
10.24,439,9.32,39,High
6.71,243,3.04,7,Medium
7.21,212,0.75,1,Low
7.4,536,10.42,42,High
6.65,277,0.45,3,Medium
11.55,218,0.32,4,High
7.27,212,0.18,0,Low
7.35,202,0.66,0,Low
2.74,220,0.52,0,High
7.48,69,12.44,31,High
7.4,156,1.24,0,Medium
6.64,177,0.29,6,Medium
1.53,139,11.47,12,High
6.18,239,5.45,1,High
7.8,83,8.25,23,High
7.0,265,0.68,2,High
7.74,208,0.53,4,Low
6.88,321,0.84,6,Medium
7.64,243,0.88,3,Low
2.57,209,0.25,31,High
6.78,152,0.12,3,Medium
7.75,267,0.63,3,Low
7.63,221,0.36,0,Low
7.27,223,0.17,3,Low
7.16,233,0.01,2,Low
7.14,251,8.5,0,High
7.54,262,0.15,1,Low
7.29,101,0.23,4,High
7.43,710,0.77,0,High
7.11,243,0.85,1,Low
8.0,269,2.2,5,Medium
5.6,82,0.08,8,High
8.44,263,1.14,3,Medium
1.89,92,0.74,44,High
7.3,223,0.5,2,Low
6.84,234,0.7,7,Medium
7.72,201,0.68,0,Low
2.04,636,14.67,17,High
7.1,217,0.47,2,Low
7.62,79,0.18,2,High
7.44,254,0.28,3,Low
7.22,157,1.53,7,Medium
6.74,215,1.58,7,Medium
8.02,327,4.32,0,Medium
7.0,927,11.1,34,High
8.47,267,3.81,5,Medium
7.15,94,18.81,27,High
7.53,211,0.85,0,Low
7.3,143,0.67,4,High
7.72,251,0.46,3,Low
10.32,217,17.13,46,High
7.17,250,0.58,2,Low
7.17,257,0.43,4,Low
5.48,910,9.32,1,High
8.37,152,0.61,3,Medium
7.36,953,0.24,38,High
7.0,264,0.66,0,High
7.76,244,0.84,0,Low
7.42,318,2.29,6,Medium
7.36,270,0.63,1,Low
7.23,245,0.57,2,Low
7.63,774,0.84,2,High
7.59,251,0.42,2,Low
8.11,261,1.94,7,Medium
7.31,232,2.44,7,Medium
7.38,137,0.03,0,High
7.33,203,0.63,3,Low
7.38,235,1.61,7,Medium
1.85,74,0.3,9,High
7.0,487,12.93,20,High
2.51,101,17.13,9,High
7.12,202,0.23,44,High
7.68,206,0.55,3,Low
7.0,876,6.59,31,High
7.73,290,1.25,2,Medium
6.83,167,0.44,7,Medium
6.75,327,3.2,3,Medium
8.17,154,0.86,6,Medium
7.0,209,0.1,2,High
6.74,175,0.4,5,Medium
7.49,201,0.67,1,Low
7.0,127,17.41,30,High
7.54,255,0.24,3,Low
7.14,221,0.53,1,Low
7.32,340,3.71,5,Medium
6.52,295,0.68,6,Medium
6.57,173,2.14,4,Medium
6.71,222,1.3,6,Medium
7.56,244,0.85,0,Low
7.16,268,0.14,2,Low
7.78,263,19.31,2,High
7.55,234,0.84,0,Low
7.71,60,0.48,0,High
8.16,348,0.83,6,Medium
12.21,836,11.26,16,High
7.66,328,2.5,0,Medium
7.54,185,4.05,2,Medium
7.41,236,0.21,3,Low
6.65,253,3.78,3,Medium
7.77,218,0.41,3,Low
7.12,200,0.17,1,Low
7.0,849,9.08,36,High
7.17,212,0.58,3,Low
7.59,212,0.35,1,Low
7.61,212,0.21,1,Low
7.2,259,0.43,1,Low
7.62,224,0.4,4,Low
7.0,673,14.23,24,High
7.8,227,3.88,6,Medium
6.75,174,0.76,1,Medium
7.77,117,11.13,50,High
7.2,280,2.51,5,Medium
7.0,104,0.73,3,High
7.61,189,1.63,2,Medium
7.15,283,3.17,2,Medium
6.58,183,4.8,2,Medium
7.0,137,17.3,28,High
7.36,226,0.79,1,Low
2.12,92,0.14,1,High
7.3,260,0.89,0,Low
7.79,251,0.67,0,Low
7.38,241,0.42,2,Low
7.59,235,2.28,5,Medium
7.65,209,0.84,3,Low
7.61,220,0.2,3,Low
7.64,264,0.63,2,Low
7.65,320,4.16,5,Medium
5.98,124,14.6,50,High
5.76,89,17.97,15,High
7.72,102,12.91,36,High
8.07,224,2.6,5,Medium
2.44,383,18.76,25,High
7.16,255,0.87,2,Low
7.42,249,0.84,3,Low
10.91,77,11.01,26,High
7.76,176,0.6,6,Medium
7.25,160,3.41,6,Medium
10.72,51,16.83,19,High
7.68,235,0.85,1,Low
11.13,125,11.01,37,High
7.56,236,15.48,2,High
7.72,210,0.75,4,Low
7.91,277,3.37,1,Medium
7.15,240,0.22,4,Low
7.13,256,0.31,4,Low
7.58,203,0.54,2,Low
7.67,234,0.59,3,Low
7.79,697,0.84,2,High
7.15,262,14.37,1,High
6.8,207,3.16,1,Medium
7.78,244,0.77,4,Low
7.16,317,3.8,7,Medium
7.78,225,0.35,1,Low
7.73,220,0.45,1,Low
6.66,311,0.63,5,Medium
7.28,205,0.5,4,Low
7.21,272,3.67,1,Medium
13.87,233,8.4,2,High
7.99,303,3.75,1,Medium
7.19,251,0.44,0,Low
7.29,232,0.05,2,Low
7.43,917,16.27,4,High
2.17,384,6.68,30,High
7.72,234,0.58,4,Low
6.67,314,2.27,1,Medium
7.7,253,14.15,47,High
3.55,142,16.2,22,High
7.8,245,0.36,0,Low
7.35,209,15.71,0,High
6.75,160,0.74,7,Medium
7.25,231,0.72,2,Low
7.59,224,0.61,1,Low
7.34,151,0.76,6,Medium
7.68,264,0.03,2,Low
7.73,250,0.47,2,Low
7.13,230,0.1,0,Low
6.85,161,0.21,6,Medium
7.64,247,0.12,3,Low
6.58,220,0.38,5,Medium
6.59,293,0.4,0,Medium
12.33,889,0.18,3,High
8.37,282,0.41,0,Medium
7.51,185,0.81,5,Medium
7.58,246,0.31,3,Low
6.64,177,0.6,6,Medium
7.43,246,0.61,2,Low
7.38,347,2.77,7,Medium
9.37,856,5.52,39,High
7.0,253,0.41,15,High
7.31,249,0.35,1,Low
6.76,326,0.33,7,Medium
7.33,250,0.78,1,Low
8.08,251,0.22,6,Medium
7.3,241,0.29,4,Low
7.33,616,15.53,20,High
12.41,50,6.07,1,High
7.21,174,3.73,4,Medium
7.55,253,0.78,3,Low
7.65,241,0.3,2,Low
1.66,86,5.78,44,High
7.48,251,0.42,1,Low
7.64,259,0.36,32,High
7.74,252,0.03,0,Low
7.0,130,9.77,3,High
7.94,290,0.23,7,Medium
7.69,228,0.45,1,Low
2.36,261,8.01,9,High
8.35,244,2.46,6,Medium
7.31,227,0.58,24,High
7.59,244,0.14,2,Low
7.13,213,0.36,1,Low
8.29,174,0.42,6,Medium
7.26,210,0.88,4,Low
8.1,239,0.19,6,Medium
7.53,265,0.65,4,Low
9.4,227,12.68,1,High
7.77,796,5.94,40,High
6.68,306,0.12,5,Medium
7.69,60,0.14,19,High
7.64,148,15.48,17,High
7.34,220,2.53,6,Medium
6.64,230,2.0,5,Medium
7.43,294,2.51,6,Medium
7.31,216,0.02,0,Low
7.38,230,0.15,2,Low
7.35,174,0.16,7,Medium
11.22,227,14.91,12,High
7.19,113,6.79,3,High
7.17,208,0.87,4,Low
7.39,214,13.48,2,High
8.26,303,0.5,3,Medium
7.47,225,0.9,3,Low
7.43,235,2.18,5,Medium
7.99,251,4.21,4,Medium
8.25,302,0.39,4,Medium
7.0,220,0.82,16,High
7.13,823,0.13,0,High
8.2,274,3.06,2,Medium
7.0,485,17.73,20,High
6.7,212,2.67,6,Medium
2.84,257,0.88,1,High
7.25,157,0.34,6,Medium
7.51,203,0.7,4,Low
7.0,688,14.12,24,High
7.38,304,1.5,4,Medium
7.63,180,0.58,7,Medium
7.5,287,1.16,3,Medium
7.55,179,4.02,7,Medium
2.38,244,10.34,4,High
7.57,169,0.07,6,Medium
7.41,82,0.52,1,High
6.8,298,3.77,2,Medium
6.61,220,0.45,7,Medium
6.68,298,0.24,4,Medium
7.28,238,0.02,0,Low
7.0,241,8.9,3,High
7.76,205,0.58,3,Low
7.31,228,0.52,1,Low
3.76,73,0.61,32,High
7.49,220,0.74,3,Low
9.76,116,0.56,4,High
7.55,242,0.35,0,Low
7.9,220,2.44,2,Medium
7.45,206,0.42,1,Low
7.55,240,0.76,1,Low
7.31,239,0.74,27,High
7.61,202,0.68,3,Low
7.76,101,0.61,4,High
8.28,343,0.06,2,Medium
8.5,233,3.77,0,Medium
3.45,748,16.1,11,High
7.52,224,0.4,3,Low
7.68,253,0.32,4,Low
10.74,101,15.76,15,High
7.0,148,8.24,19,High
7.17,258,0.37,0,Low
7.55,123,0.18,1,High
7.32,994,18.23,1,High
7.44,241,0.36,2,Low
8.23,216,4.35,1,Medium
4.7,211,10.65,2,High
7.0,219,18.03,10,High
7.57,212,0.71,1,Low
7.34,302,4.54,5,Medium
7.25,111,0.36,0,High
8.37,211,0.13,7,Medium
3.06,451,0.03,2,High
7.19,261,0.11,3,Low
7.16,235,0.16,1,Low
4.06,105,14.63,26,High
7.74,267,0.0,2,Low
7.72,92,0.74,1,High
7.31,228,0.49,4,Low
6.58,329,0.33,6,Medium
7.36,226,0.78,0,Low
8.19,330,0.46,5,Medium
7.51,214,0.58,4,Low
7.26,248,0.43,3,Low
8.07,270,3.35,0,Medium
7.79,218,0.6,1,Low
7.27,204,0.35,3,Low
7.49,200,0.37,2,Low
7.0,63,16.28,0,High
7.53,270,0.65,0,Low
7.3,265,0.5,2,Low
7.64,258,0.72,2,Low
7.64,234,0.6,1,Low
6.59,241,4.27,3,Medium
6.67,338,0.05,4,Medium
7.54,204,0.9,0,Low
7.43,176,2.85,1,Medium
7.59,169,4.32,0,Medium
8.15,199,2.73,3,Medium
7.54,201,0.5,4,Low
6.55,340,2.56,4,Medium
6.8,187,0.8,7,Medium
7.73,752,0.32,2,High
10.09,944,0.73,32,High
7.4,210,0.78,3,Low
8.4,165,4.34,1,Medium
7.7,219,0.63,0,Low
8.44,313,3.46,0,Medium
7.41,228,0.65,2,Low
7.43,217,0.6,4,Low
7.14,67,0.24,4,High
7.0,108,0.4,46,High
7.75,297,0.54,7,Medium
7.69,334,4.49,6,Medium
7.21,201,0.08,3,Low
7.0,57,10.06,39,High
8.26,259,4.46,5,Medium
7.46,227,0.24,0,Low
7.45,242,0.01,31,High
7.53,258,0.09,0,Low
8.01,228,0.52,6,Medium
7.51,214,0.22,29,High
7.54,212,0.78,4,Low
6.68,234,3.6,5,Medium
7.0,635,0.48,4,High
6.63,212,0.88,7,Medium
12.64,200,0.34,1,High
7.94,181,2.83,0,Medium
3.18,422,5.65,48,High
6.66,215,4.44,2,Medium
7.31,209,0.21,0,Low
6.87,325,4.62,2,Medium
7.65,206,3.98,5,Medium
5.77,363,13.77,10,High
7.63,250,0.31,13,High
8.1,279,4.71,4,Medium
7.41,206,0.69,2,Low
7.61,217,0.11,1,Low
7.64,752,0.13,0,High
6.82,253,0.85,7,Medium
7.63,258,0.33,4,Low
7.43,247,0.11,3,Low
7.5,255,0.75,1,Low
4.64,94,0.59,4,High
9.8,149,0.1,36,High
7.0,210,0.37,3,High
7.63,237,0.3,2,Low
6.04,717,7.44,0,High
7.16,264,0.56,43,High
7.0,435,13.1,26,High
7.69,214,0.52,1,Low
10.53,881,9.78,15,High
8.4,256,0.74,6,Medium
7.49,81,18.62,26,High
7.13,254,0.53,0,Low
7.0,861,13.6,9,High
6.61,270,2.62,5,Medium
7.74,216,0.73,3,Low
7.95,320,0.84,6,Medium
7.53,212,12.41,2,High
7.47,305,0.6,5,Medium
8.95,231,0.29,2,High
8.38,248,0.55,7,Medium
7.21,215,10.16,2,High
7.17,175,1.7,4,Medium
7.21,251,12.83,17,High
7.2,247,0.39,4,Low
7.69,262,14.47,9,High
7.74,221,0.28,3,Low
8.34,246,0.58,7,Medium
6.88,236,2.12,6,Medium
7.19,243,0.45,0,Low
7.0,267,0.28,0,High
8.34,311,0.41,7,Medium
6.79,333,0.03,5,Medium
7.55,276,1.87,6,Medium
7.0,241,0.88,2,High
6.69,238,0.83,5,Medium
7.65,190,3.68,2,Medium
7.58,201,0.52,3,Low
7.43,200,0.12,1,Low
7.36,225,0.12,1,Low
7.0,229,0.47,9,High
7.19,210,0.64,2,Low
2.77,590,11.59,29,High
7.0,616,16.54,15,High
8.15,179,2.56,3,Medium
6.75,296,1.68,1,Medium
7.45,237,0.59,4,Low
8.2,211,3.18,6,Medium
7.48,216,0.28,3,Low
7.37,252,0.21,3,Low
7.0,537,13.44,27,High
7.7,233,0.79,1,Low
7.15,246,6.54,0,High
8.16,267,2.55,6,Medium
7.0,996,12.49,44,High
12.41,242,16.58,39,High
7.35,200,9.75,4,High
7.0,230,10.85,1,High
7.73,197,3.04,6,Medium
2.57,225,18.3,3,High
7.13,232,0.48,2,Low
7.68,267,0.05,3,Low
12.91,87,11.35,21,High
7.58,252,7.21,23,High
8.31,252,2.26,6,Medium
7.9,265,4.45,5,Medium
7.56,258,0.63,4,Low
7.73,239,0.65,4,Low
7.75,217,0.79,0,Low
7.77,211,0.17,1,Low
7.57,264,0.87,3,Low
8.95,622,0.85,3,High
7.17,216,0.51,0,Low
7.3,235,0.78,4,Low
12.13,249,16.97,4,High
7.0,242,15.17,4,High
6.69,331,2.95,4,Medium
6.55,208,3.57,7,Medium
6.81,246,4.14,5,Medium
7.34,217,4.32,7,Medium
7.78,238,0.45,0,Low
7.61,263,0.83,2,Low
7.0,964,8.04,18,High
8.47,220,3.08,1,Medium
7.76,512,0.89,4,High
7.3,196,4.55,7,Medium
7.97,168,0.2,6,Medium
6.87,243,2.49,0,Medium
6.08,143,7.93,14,High
7.0,204,9.63,41,High
7.28,256,0.08,1,Low
9.14,996,11.46,19,High
7.18,233,0.53,2,Low
7.2,307,0.46,7,Medium
8.07,240,2.55,0,Medium
7.47,227,0.1,1,Low
11.08,65,16.4,17,High
7.65,230,1.53,6,Medium
6.85,158,4.36,3,Medium
7.43,258,0.86,3,Low
13.79,400,0.23,31,High
7.66,223,0.49,21,High
7.65,940,0.42,47,High
7.24,238,0.52,1,Low
7.0,237,0.57,50,High
7.76,630,0.47,40,High
7.59,206,12.71,40,High
7.55,265,4.47,5,Medium
7.6,77,0.1,34,High
7.65,232,4.11,5,Medium
7.47,252,0.06,3,Low
6.18,471,11.17,24,High
7.62,229,0.58,4,Low
7.47,260,0.24,2,Low
7.69,263,0.18,1,Low
7.16,177,1.64,7,Medium
7.68,249,0.35,1,Low
6.78,314,2.58,0,Medium
7.45,229,0.46,3,Low
8.23,169,0.89,2,Medium
7.72,264,0.14,2,Low
7.65,211,18.29,0,High
6.73,256,0.09,7,Medium
7.19,236,0.66,4,Low
7.13,74,9.47,12,High
9.67,54,14.41,0,High
7.61,218,0.08,1,Low
7.11,211,0.42,3,Low
5.67,267,12.37,8,High
7.67,263,0.32,1,Low
7.49,208,3.73,7,Medium
7.22,189,3.39,7,Medium
3.67,145,5.46,36,High
7.14,716,0.82,21,High
8.14,237,4.17,6,Medium
6.67,332,0.01,2,Medium
7.57,217,0.77,0,Low
7.42,270,0.45,3,Low
7.69,236,3.97,7,Medium
7.43,356,0.32,39,High
7.19,230,0.18,1,Low
7.26,267,2.07,7,Medium
7.0,51,0.33,3,High
7.19,226,0.61,3,Low
8.45,170,0.71,2,Medium
3.68,54,11.03,41,High
6.68,317,4.49,2,Medium
8.45,156,0.09,5,Medium
7.73,215,3.63,7,Medium
7.96,200,0.03,6,Medium
7.78,221,0.09,0,Low
7.33,251,0.4,4,Low
8.14,191,0.28,2,Medium
7.68,231,16.21,15,High
7.13,248,6.42,13,High
7.0,443,19.82,2,High
5.65,553,13.12,44,High
7.17,266,0.59,4,Low
7.69,254,4.4,6,Medium
7.27,211,0.45,1,Low
7.37,265,0.32,4,Low
7.15,917,0.72,8,High
7.39,216,0.58,50,High
11.88,242,15.95,27,High
7.59,116,14.71,8,High
8.4,194,0.55,5,Medium
7.32,215,0.84,3,Low
7.0,143,17.35,0,High
6.7,261,3.56,2,Medium
7.4,240,0.14,1,Low
7.22,337,3.47,6,Medium
7.23,335,0.25,5,Medium
7.37,482,0.69,42,High
7.35,254,0.14,0,Low
7.64,279,0.24,5,Medium
7.34,230,0.2,1,Low
7.0,463,18.17,4,High
6.64,237,2.9,4,Medium
7.64,224,0.86,4,Low
7.13,179,0.85,6,Medium
7.41,177,4.0,6,Medium
7.78,262,17.12,4,High
7.49,252,0.64,1,Low
7.25,211,0.57,0,Low
7.8,100,0.07,50,High
7.38,344,3.25,5,Medium
7.4,266,8.54,26,High
7.17,201,2.57,6,Medium
7.0,89,6.62,15,High
7.4,203,0.22,0,Low
6.54,328,0.85,0,Medium
7.59,204,2.9,5,Medium
9.88,847,12.67,40,High
6.86,228,0.66,6,Medium
10.13,568,12.1,4,High
7.15,346,0.74,6,Medium
7.0,895,8.6,0,High
7.31,292,1.43,1,Medium
7.27,138,0.51,0,High
8.42,227,0.46,7,Medium
7.7,209,8.58,1,High
7.77,247,0.32,2,Low
7.7,249,4.41,6,Medium
8.4,219,2.2,7,Medium
10.19,941,8.19,40,High
7.67,262,0.26,2,Low
7.6,244,3.84,7,Medium
7.0,620,17.04,11,High
6.76,219,0.13,7,Medium
6.69,158,0.44,5,Medium
3.39,469,9.59,1,High
1.72,514,6.67,12,High
7.64,253,0.61,2,Low
7.67,327,0.14,7,Medium
7.14,236,0.31,3,Low
8.41,154,0.87,6,Medium
7.71,143,12.74,2,High
7.19,227,0.68,4,Low
7.51,346,4.68,5,Medium
6.59,211,0.58,6,Medium
7.71,169,2.55,6,Medium
7.28,220,0.35,0,Low
7.33,636,13.43,35,High
7.31,662,19.11,47,High
7.43,244,0.02,0,Low
7.57,72,18.0,14,High
6.53,166,0.35,7,Medium
7.0,69,5.23,8,High
9.72,693,19.03,24,High
3.56,73,0.66,0,High
7.4,328,2.8,5,Medium
6.7,203,0.19,7,Medium
6.84,214,4.05,0,Medium
7.43,246,0.8,2,Low
7.0,118,14.23,31,High
6.81,244,0.78,6,Medium
7.0,914,5.3,4,High
7.16,243,0.63,4,Low
12.43,67,14.63,2,High
7.55,178,2.34,6,Medium
6.63,349,4.5,3,Medium
7.21,248,0.37,1,Low
4.07,83,17.73,15,High
7.28,210,0.08,1,Low
7.28,56,14.73,44,High
7.46,210,0.77,2,Low
6.61,266,2.75,0,Medium
7.43,204,0.12,4,Low
7.33,245,0.02,2,Low
7.76,226,0.41,1,Low
7.46,257,0.48,3,Low
7.59,203,18.41,13,High
7.34,328,3.46,3,Medium
7.45,244,0.6,2,Low
7.24,177,1.42,0,Medium
3.41,231,16.7,2,High
7.15,326,4.05,6,Medium
7.36,175,0.42,7,Medium
8.18,233,0.3,7,Medium
3.55,979,17.17,44,High
7.51,203,0.29,2,Low
7.74,253,0.61,1,Low
6.85,214,4.32,5,Medium
7.66,249,0.51,3,Low
7.47,247,0.71,4,Low
8.14,176,0.76,6,Medium
7.56,288,0.04,6,Medium
7.71,270,0.36,4,Low
7.0,269,8.91,38,High
7.72,260,0.54,2,Low
7.47,231,0.02,4,Low
3.09,258,0.48,36,High
7.67,232,0.31,2,Low
11.1,231,0.45,0,High
7.0,86,0.27,2,High
3.54,519,11.83,17,High
7.62,237,0.65,4,Low
7.16,179,0.02,5,Medium
7.51,241,0.15,2,Low
7.42,269,0.69,2,Low
7.77,262,0.15,1,Low
7.23,214,0.48,2,Low
7.43,256,0.09,3,Low
8.34,338,0.46,6,Medium
7.16,167,4.41,6,Medium
7.7,330,4.07,6,Medium
7.63,220,0.74,4,Low
5.63,89,18.42,26,High
7.12,251,0.51,0,Low
8.48,154,0.77,2,Medium
7.0,228,16.08,13,High
6.55,283,4.46,0,Medium
8.4,223,0.53,7,Medium
6.87,263,4.35,7,Medium
7.39,259,2.2,7,Medium
7.21,231,4.07,5,Medium
7.6,203,0.48,2,Low
7.0,849,11.0,19,High
7.22,248,0.64,1,Low
7.26,210,0.11,4,Low
10.03,499,6.6,14,High
7.47,208,0.18,3,Low
9.79,71,11.64,35,High
7.44,270,0.8,4,Low
7.15,262,7.07,1,High
7.67,269,0.62,1,Low
8.2,271,0.45,5,Medium
7.92,154,1.95,2,Medium
7.61,240,0.07,3,Low
7.52,241,0.5,2,Low
7.0,239,18.39,41,High
7.15,240,0.74,1,Low
6.71,218,0.76,5,Medium
7.73,221,3.62,7,Medium
7.44,245,0.37,4,Low
7.15,64,15.26,13,High
7.77,275,1.84,0,Medium
7.76,256,0.61,4,Low
7.0,255,14.63,28,High
7.66,242,0.01,3,Low
7.39,245,0.36,0,Low
7.38,243,0.41,3,Low
6.83,201,0.73,6,Medium
7.0,255,0.81,0,High
7.55,198,1.34,1,Medium
7.14,231,2.2,5,Medium
6.78,248,0.41,7,Medium
7.66,155,4.5,1,Medium
7.53,263,0.13,2,Low
7.11,232,0.55,4,Low
7.66,217,19.72,1,High
8.42,212,3.43,1,Medium
6.54,318,0.12,6,Medium
6.56,156,0.35,1,Medium
7.62,212,0.27,0,Low
6.53,170,0.56,7,Medium
7.17,206,0.28,2,Low
6.86,340,0.76,0,Medium
7.33,243,0.66,4,Low
8.13,239,0.55,7,Medium
8.49,171,0.82,6,Medium
13.49,204,0.62,1,High
7.68,259,0.14,0,Low
8.07,215,0.46,6,Medium
8.49,331,0.59,7,Medium
7.0,148,15.04,25,High
7.77,226,0.62,1,Low
7.32,265,0.37,0,Low
6.79,254,3.81,7,Medium
7.0,224,0.21,1,High
7.65,263,0.15,2,Low
8.38,323,1.4,1,Medium
4.69,996,17.08,2,High
8.41,332,0.85,6,Medium
7.47,205,0.76,1,Low
7.67,245,0.64,2,Low
7.49,223,0.32,2,Low
7.52,122,0.27,21,High
7.27,168,3.21,1,Medium
7.7,729,13.99,44,High
7.4,293,0.6,5,Medium
7.66,266,0.09,3,Low
7.54,204,0.13,3,Low
8.41,340,1.22,2,Medium
7.65,108,18.72,46,High
7.0,225,0.37,3,High
8.44,306,3.03,2,Medium
7.71,224,0.87,1,Low
9.74,678,0.55,1,High
12.59,224,18.24,18,High
7.66,698,7.86,1,High
7.27,222,4.41,7,Medium
6.82,226,2.26,1,Medium
11.36,930,6.5,3,High
7.34,223,0.35,2,Low
7.27,201,17.65,16,High
7.55,231,0.89,0,Low
7.47,59,19.69,2,High
7.44,230,17.35,44,High
7.39,261,0.55,2,Low
7.0,703,6.01,25,High
7.51,215,0.54,3,Low
7.15,223,0.48,2,Low
7.21,201,5.44,3,High
7.0,537,13.94,35,High
7.2,264,0.19,0,Low
7.47,218,0.88,3,Low
10.57,237,0.75,2,High
7.4,121,0.24,0,High
8.47,267,1.45,1,Medium
7.75,261,0.44,2,Low
7.43,236,0.89,27,High
7.26,548,15.95,3,High
7.39,235,0.86,3,Low
7.76,202,0.44,0,Low
7.39,246,0.26,3,Low
7.36,218,0.16,11,High
7.5,189,0.7,7,Medium
7.0,460,11.21,21,High
7.91,205,3.02,5,Medium
6.75,232,0.19,6,Medium
7.29,243,0.69,4,Low
